time,trueDist,trueAngle,estimatedDist,estimatedAngleDg
2.45177E+12,3,-40,3.461,-43.83127133
2.4522E+12,3,-40,3.414,-40.96648235
2.45263E+12,3,-40,3.442,-45.77932783
2.45345E+12,3,-40,3.442,-40.10704566
2.45356E+12,3,-40,3.433,-45.0344827
2.45392E+12,3,-40,3.423,-46.63876452
2.45435E+12,3,-40,3.405,-37.35684824
2.45478E+12,3,-40,3.433,-37.35684824
2.45521E+12,3,-40,3.414,-41.08107391
2.45609E+12,3,-40,3.423,-37.24225668
2.4565E+12,3,-40,3.423,-39.76327098
2.4595E+12,3,-40,3.423,-41.53944015
2.45993E+12,3,-40,3.423,-43.65938399
2.46036E+12,3,-40,3.423,-44.11775023
2.46079E+12,3,-40,3.452,-46.6960603
2.46122E+12,3,-40,3.414,-43.43020087
2.46165E+12,3,-40,3.423,-47.84197589
2.46208E+12,3,-40,3.442,-47.72738433
2.46254E+12,3,-40,3.423,-41.71132749
2.46294E+12,3,-40,3.452,-39.9924541
2.4638E+12,3,-40,3.433,-43.14372197
2.46423E+12,3,-40,3.442,-45.09177848
2.46466E+12,3,-40,3.433,-44.91989114
2.46509E+12,3,-40,3.414,-38.50276383
2.46552E+12,3,-40,3.433,-44.7480038
2.46595E+12,3,-40,3.433,-33.40343946
2.46637E+12,3,-40,3.405,-47.2690181
2.4668E+12,3,-40,3.405,-42.34158106
2.46727E+12,3,-40,3.433,-34.9504255
2.46766E+12,3,-40,3.442,-44.86259536
2.46843E+12,3,-40,3.423,-40.10704566
2.46858E+12,3,-40,3.414,-39.93515832
2.46895E+12,3,-40,3.395,-43.65938399
